facility,in_degree,out_degree,degree
IND000000AAL,1,1,2
IND411033AAA,23,20,43
IND000000AAQ,0,1,1
IND700028AAB,2,1,3
IND000000AAS,1,1,2
IND783370AAC,1,1,2
IND000000AAZ,2,2,4
IND444203AAA,2,1,3
IND444303AAA,1,1,2
IND000000ABA,1,1,2
IND683565AAA,1,1,2
IND000000ABD,1,1,2
IND562132AAA,36,35,71
IND000000ABG,0,1,1
IND501359AAF,3,0,3
IND000000ACA,13,9,22
IND140406AAA,1,1,2
IND142001AAB,2,2,4
IND142401AAA,2,1,3
IND143001AAA,3,1,4
IND144001AAB,5,5,10
IND144514AAA,1,2,3
IND147301AAA,2,2,4
IND152026AAA,6,7,13
IND160002AAC,32,29,61
IND000000ACB,45,49,94
IND000000AEL,1,1,2
IND110024AAA,3,1,4
IND110030AAD,2,1,3
IND110037AAK,1,1,2
IND110043AAA,3,2,5
IND110043AAC,1,1,2
IND110052AAA,1,1,2
IND110064AAA,2,3,5
IND110085AAB,4,5,9
IND110092AAC,3,2,5
IND110095AAB,1,1,2
IND121002AAB,1,1,2
IND121004AAB,9,7,16
IND122001AAA,2,5,7
IND122015AAC,1,0,1
IND124103AAA,1,1,2
IND124112AAA,1,3,4
IND125001AAA,7,8,15
IND125005AAA,4,5,9
IND125033AAA,2,2,4
IND127021AAA,2,1,3
IND131028AAB,20,20,40
IND201001AAC,2,2,4
IND201007AAA,8,5,13
IND201301AAF,8,3,11
IND201301AAM,1,1,2
IND209304AAA,16,13,29
IND282002AAD,6,5,11
IND301001AAB,5,3,8
IND301705AAA,2,1,3
IND302014AAA,10,8,18
IND302022AAD,1,1,2
IND328001AAA,3,3,6
IND382430AAB,17,13,30
IND390022AAA,5,4,9
IND421302AAG,29,29,58
IND462022AAA,13,9,22
IND474003AAA,8,6,14
IND501359AAE,30,27,57
IND521225AAB,8,8,16
IND600056AAB,18,18,36
IND712311AAA,24,22,46
IND751002AAB,13,6,19
IND821115AAB,6,5,11
IND834002AAB,5,7,12
IND842001AAA,12,15,27
IND000000ACK,0,1,1
IND000000ACN,1,1,2
IND000000ACT,0,3,3
IND000000ADM,1,1,2
IND683511AAA,13,7,20
IND000000ADV,0,1,1
IND600044AAC,3,0,3
IND000000AEM,0,2,2
IND110037AAB,1,0,1
IND110064AAB,1,0,1
IND000000AET,1,1,2
IND000000AFF,1,1,2
IND734203AAA,1,0,1
IND000000AFG,0,2,2
IND673027AAB,1,2,3
IND673632AAA,2,4,6
IND000000AFJ,1,2,3
IND695121AAA,1,2,3
IND695572AAB,3,2,5
IND000000AFR,0,1,1
IND000000AFT,5,8,13
IND400072AAB,11,11,22
IND400701AAA,1,2,3
IND400706AAA,1,1,2
IND410206AAA,2,1,3
IND410206AAB,1,1,2
IND410209AAA,1,0,1
IND410210AAA,1,0,1
IND110014AAA,1,1,2
IND110020AAB,1,1,2
IND110037AAM,21,24,45
IND110035AAC,1,1,2
IND201301AAD,1,1,2
IND202001AAB,4,4,8
IND226004AAC,1,0,1
IND250002AAC,2,0,2
IND282001AAA,2,2,4
IND282001AAC,1,1,2
IND781018AAB,17,15,32
IND811399AAA,1,2,3
IND110039AAA,1,1,2
IND110078AAA,1,1,2
IND110044AAB,2,6,8
IND110005AAA,1,0,1
IND110046AAA,1,0,1
IND110077AAA,0,1,1
IND110083AAA,1,1,2
IND110085AAA,1,0,1
IND110087AAA,1,0,1
IND110093AAA,1,1,2
IND121001AAA,1,1,2
IND121002AAA,1,1,2
IND121004AAA,1,1,2
IND121004AAC,1,1,2
IND121102AAA,1,1,2
IND122001AAD,1,1,2
IND122050AAA,2,0,2
IND122101AAC,1,0,1
IND122001AAJ,1,1,2
IND507123AAA,1,1,2
IND122002AAD,0,1,1
IND122503AAA,1,1,2
IND122004AAA,0,2,2
IND122413AAE,1,0,1
IND123001AAA,2,1,3
IND123401AAB,1,2,3
IND123106AAB,1,0,1
IND124001AAB,1,1,2
IND126102AAA,1,2,3
IND124141AAA,1,1,2
IND124507AAA,2,2,4
IND131028AAE,1,1,2
IND125047AAB,2,2,4
IND125051AAA,3,1,4
IND335501AAA,1,1,2
IND335513AAA,3,3,6
IND335523AAB,3,1,4
IND335524AAA,2,1,3
IND125050AAA,1,1,2
IND125111AAA,1,1,2
IND125104AAA,1,1,2
IND125121AAA,1,1,2
IND126116AAA,1,1,2
IND131301AAA,2,1,3
IND126112AAA,0,1,1
IND127201AAA,1,1,2
IND131021AAA,0,1,1
IND131028AAA,1,0,1
IND132103AAA,2,2,4
IND136118AAA,1,1,2
IND201204AAA,1,1,2
IND244001AAA,1,1,2
IND244235AAA,1,1,2
IND247667AAA,1,1,2
IND247667AAB,1,1,2
IND248001AAA,3,1,4
IND248001AAD,2,1,3
IND249407AAA,5,3,8
IND250002AAA,3,1,4
IND250609AAA,1,0,1
IND250611AAA,1,1,2
IND251001AAA,1,1,2
IND132001AAA,2,3,5
IND132103AAB,1,2,3
IND133004AAA,0,1,1
IND135001AAA,2,1,3
IND134102AAA,2,1,3
IND174103AAA,4,1,5
IND134109AAA,0,1,1
IND134203AAA,1,2,3
IND140501AAA,1,1,2
IND173025AAA,1,1,2
IND136027AAA,1,1,2
IND132039AAA,1,0,1
IND136128AAA,1,1,2
IND140001AAA,1,1,2
IND140118AAA,1,1,2
IND140301AAA,1,2,3
IND140901AAA,2,2,4
IND140401AAA,2,3,5
IND160055AAA,2,1,3
IND141003AAB,0,3,3
IND141109AAA,2,1,3
IND142026AAA,1,2,3
IND141010AAA,0,1,1
IND141115AAA,2,1,3
IND151001AAA,6,4,10
IND144001AAA,1,1,2
IND144040AAA,2,1,3
IND144401AAB,1,1,2
IND144601AAA,1,2,3
IND144001AAC,0,2,2
IND144527AAA,0,1,1
IND145001AAA,1,2,3
IND176201AAA,1,1,2
IND176303AAA,2,1,3
IND147001AAB,2,2,4
IND147201AAA,2,1,3
IND147001AAD,2,3,5
IND148023AAA,2,2,4
IND147101AAA,2,2,4
IND147105AAA,2,2,4
IND148001AAA,1,0,1
IND148024AAB,1,0,1
IND148028AAA,0,2,2
IND148101AAA,1,1,2
IND148102AAA,1,1,2
IND151103AAA,1,1,2
IND151302AAA,1,1,2
IND151505AAA,1,1,2
IND151506AAA,1,1,2
IND152024AAA,1,1,2
IND152123AAA,1,1,2
IND152101AAA,1,1,2
IND152107AAA,2,1,3
IND152116AAA,1,2,3
IND140603AAA,1,0,1
IND160003AAA,1,1,2
IND160102AAC,1,1,2
IND173212AAA,2,4,6
IND174001AAA,2,1,3
IND174307AAA,1,1,2
IND176041AAA,2,0,2
IND181152AAA,3,1,4
IND184104AAA,2,4,6
IND160102AAD,0,2,2
IND160002AAD,1,0,1
IND173220AAA,1,2,3
IND175018AAA,1,1,2
IND174021AAA,0,1,1
IND176048AAA,1,1,2
IND174101AAB,0,2,2
IND175001AAA,1,1,2
IND175101AAA,1,1,2
IND175015AAA,1,1,2
IND176061AAA,1,1,2
IND176110AAB,1,1,2
IND177033AAA,1,1,2
IND176215AAA,0,1,1
IND176310AAA,1,1,2
IND177001AAA,0,1,1
IND177101AAA,1,2,3
IND176001AAA,1,0,1
IND176001AAB,1,0,1
IND177203AAA,0,1,1
IND184121AAA,3,4,7
IND181152AAB,3,3,6
IND181201AAB,1,1,2
IND201001AAA,1,1,2
IND201005AAA,1,1,2
IND201007AAB,1,3,4
IND245101AAA,2,2,4
IND245304AAA,2,2,4
IND201301AAL,2,2,4
IND201304AAA,2,1,3
IND203205AAA,1,0,1
IND201307AAA,1,1,2
IND201306AAA,0,2,2
IND205001AAB,3,5,8
IND207123AAA,1,1,2
IND202001AAC,0,1,1
IND204215AAA,1,1,2
IND203001AAA,0,1,1
IND203131AAA,1,1,2
IND203135AAA,1,2,3
IND203390AAA,2,1,3
IND203396AAB,1,1,2
IND204101AAA,1,2,3
IND207001AAA,1,1,2
IND205135AAA,1,1,2
IND209625AAA,2,1,3
IND209721AAB,1,1,2
IND283203AAA,2,2,4
IND206001AAA,1,1,2
IND206122AAA,1,1,2
IND207302AAA,1,1,2
IND207247AAB,2,1,3
IND208006AAA,1,1,2
IND208012AAA,1,1,2
IND208017AAA,0,1,1
IND208019AAA,1,1,2
IND209101AAA,1,1,2
IND209111AAA,1,1,2
IND285001AAD,1,1,2
IND209206AAB,1,1,2
IND210301AAA,1,0,1
IND209801AAA,1,1,2
IND211002AAB,6,4,10
IND212601AAA,1,1,2
IND221313AAA,1,6,7
IND241124AAB,1,1,2
IND210001AAA,1,1,2
IND210427AAA,1,1,2
IND210431AAA,1,1,2
IND210501AAB,0,1,1
IND211011AAA,1,1,2
IND211013AAA,1,0,1
IND485001AAC,2,5,7
IND211008AAA,0,1,1
IND211010AAB,0,1,1
IND212501AAA,1,1,2
IND212402AAA,1,1,2
IND221010AAA,1,1,2
IND221005A1A,1,0,1
IND221010AAB,2,3,5
IND222001AAA,2,1,3
IND232101AAB,2,1,3
IND233001AAA,1,2,3
IND221303AAA,1,1,2
IND231001AAA,1,0,1
IND221401AAA,1,1,2
IND222136AAA,2,0,2
IND276128AAA,1,1,2
IND221706AAA,1,1,2
IND273014AAB,6,6,12
IND222125AAB,1,1,2
IND223101AAB,1,1,2
IND224001AAA,0,1,1
IND224141AAB,1,1,2
IND224122AAA,1,0,1
IND226004AAA,0,2,2
IND226016AAA,1,0,1
IND226024AAA,1,0,1
IND231205AAA,1,1,2
IND231216AAA,2,0,2
IND231208AAA,0,1,1
IND231217AAA,1,1,2
IND231225AAB,1,1,2
IND486886AAA,1,1,2
IND232104AAB,1,3,4
IND232327AAA,1,0,1
IND233221AAC,1,0,1
IND275101AAA,1,1,2
IND275503AAA,2,1,3
IND242001AAA,1,1,2
IND242307AAB,1,2,3
IND242221AAA,1,1,2
IND243001AAA,0,2,2
IND243503AAB,3,1,4
IND244901AAB,10,7,17
IND243002AAA,1,1,2
IND243201AAA,2,1,3
IND262001AAA,2,2,4
IND243301AAB,1,2,3
IND244901AAC,1,1,2
IND263153AAB,6,7,13
IND244221AAA,1,1,2
IND244301AAA,1,1,2
IND244412AAA,1,2,3
IND244501AAA,1,1,2
IND244601AAB,2,1,3
IND244713AAA,3,2,5
IND244715AAA,2,2,4
IND263401AAA,3,2,5
IND244921AAB,2,2,4
IND246725AAB,1,1,2
IND246001AAA,0,1,1
IND249201AAA,2,2,4
IND246149AAA,1,1,2
IND246174AAA,2,1,3
IND246444AAB,1,1,2
IND246424AAA,1,1,2
IND246701AAA,1,1,2
IND246763AAA,1,2,3
IND246761AAA,1,3,4
IND247554AAA,1,2,3
IND247776AAA,1,1,2
IND251309AAB,1,1,2
IND248122AAB,1,1,2
IND248197AAA,0,1,1
IND250221AAA,0,1,1
IND251201AAA,1,2,3
IND261001AAA,1,1,2
IND262701AAA,1,1,2
IND261201AAB,0,1,1
IND262122AAB,1,1,2
IND262405AAA,0,1,1
IND262501AAA,2,1,3
IND262802AAA,1,1,2
IND262723AAB,1,0,1
IND263002AAA,1,1,2
IND263645AAA,3,2,5
IND263139AAA,1,1,2
IND263601AAA,1,3,4
IND271001AAA,1,2,3
IND271201AAA,1,1,2
IND271210AAA,2,1,3
IND272001AAA,1,2,3
IND272175AAA,1,0,1
IND272155AAA,0,1,1
IND272207AAB,0,1,1
IND272153AAC,1,0,1
IND273155AAA,1,2,3
IND273304AAA,2,1,3
IND274001AAA,2,2,4
IND274301AAB,3,1,4
IND277303AAC,1,1,2
IND273303AAA,1,1,2
IND274509AAB,1,3,4
IND274304AAA,2,1,3
IND274304AAB,2,2,4
IND274402AAA,1,2,3
IND275303AAA,1,1,2
IND276140AAA,1,1,2
IND276305AAA,1,1,2
IND276129AAA,1,1,2
IND277201AAA,1,1,2
IND277211AAA,1,1,2
IND281121AAB,0,1,1
IND281401AAA,0,2,2
IND321022AAA,1,1,2
IND282001AAF,0,1,1
IND283122AAB,1,2,3
IND281004AAA,1,0,1
IND282005AAA,1,0,1
IND284001AAA,0,1,1
IND284403AAA,1,2,3
IND472001AAA,2,2,4
IND285205AAB,1,1,2
IND321001AAB,1,2,3
IND321606AAA,2,2,4
IND301019AAA,0,2,2
IND302004AAA,1,2,3
IND302014AAB,9,12,21
IND302033AAB,1,0,1
IND302006AAA,1,1,2
IND302006AAC,1,1,2
IND303702AAB,1,2,3
IND305001AAC,5,4,9
IND306401AAB,3,4,7
IND313001AAB,4,5,9
IND332404AAA,2,1,3
IND302020AAA,1,1,2
IND302023AAA,1,0,1
IND302026AAA,1,1,2
IND303008AAB,1,1,2
IND303301AAB,1,1,2
IND303303AAA,2,1,3
IND303603AAB,2,2,4
IND303901AAA,1,1,2
IND304001AAA,2,1,3
IND303002AAA,1,1,2
IND303338AAB,2,1,3
IND303106AAA,1,2,3
IND303108AAB,0,1,1
IND322230AAA,1,1,2
IND303503AAA,1,1,2
IND332001AAB,3,6,9
IND322001AAC,1,1,2
IND305802AAA,1,1,2
IND305901AAA,1,2,3
IND342602AAC,2,2,4
IND305404AAA,1,2,3
IND305601AAC,1,1,2
IND305624AAA,3,1,4
IND341512AAA,1,1,2
IND306116AAA,1,1,2
IND306001AAA,1,0,1
IND306304AAB,1,1,2
IND311302AAA,2,1,3
IND342005AAD,2,4,6
IND343001AAA,1,1,2
IND306902AAA,1,1,2
IND307001AAA,1,1,2
IND311001AAA,2,1,3
IND313324AAA,1,1,2
IND311301AAA,0,1,1
IND312001AAA,2,2,4
IND312601AAA,1,1,2
IND312403AAA,1,1,2
IND458664AAA,1,1,2
IND312605AAB,2,2,4
IND458001AAB,1,1,2
IND327001AAB,1,1,2
IND321001AAA,2,2,4
IND321401AAB,2,0,2
IND321408AAB,0,2,2
IND322201AAA,1,2,3
IND322241AAA,1,1,2
IND331022A1B,0,1,1
IND331001A1C,1,0,1
IND331023AAA,1,1,2
IND331304AAA,1,1,2
IND331507AAA,0,1,1
IND331701AAA,1,1,2
IND333001AAA,1,1,2
IND333028AAA,2,2,4
IND333031AAA,2,1,3
IND333042AAA,1,1,2
IND334001AAB,1,1,2
IND334001AAC,1,2,3
IND332713AAA,1,2,3
IND332709AAA,1,0,1
IND332715AAB,1,0,1
IND333502AAA,1,0,1
IND333504AAA,1,1,2
IND334803AAA,2,1,3
IND341001AAC,2,2,4
IND335001AAA,1,1,2
IND335051AAA,1,1,2
IND335803AAA,1,1,2
IND335804AAD,2,2,4
IND335701AAA,2,1,3
IND335703AAA,1,1,2
IND341030AAA,1,1,2
IND341303AAA,2,1,3
IND341306AAA,1,1,2
IND341503AAB,1,1,2
IND341510AAB,2,1,3
IND341505AAA,1,2,3
IND342601AAA,1,2,3
IND342902A1B,2,1,3
IND342902AAA,2,1,3
IND344022AAB,1,2,3
IND342301AAA,4,1,5
IND343029AAB,1,1,2
IND344001AAA,1,3,4
IND345001AAA,1,2,3
IND345021AAA,2,1,3
IND360003AAA,0,1,1
IND360311AAA,1,1,2
IND360050AAA,1,0,1
IND360370AAA,1,1,2
IND360410AAA,1,1,2
IND360490AAA,1,1,2
IND362001AAA,3,4,7
IND360510AAB,1,1,2
IND360530AAB,1,1,2
IND360575AAA,1,1,2
IND361001AAA,0,1,1
IND361305AAC,1,2,3
IND361315AAA,1,1,2
IND361335AAA,2,1,3
IND360002AAB,3,0,3
IND362220AAA,1,2,3
IND362265AAA,3,1,4
IND362150AAA,1,1,2
IND362225AAA,1,1,2
IND362720AAA,1,1,2
IND362560AAA,1,1,2
IND363001AAA,1,1,2
IND363421AAB,1,1,2
IND363310AAB,2,1,3
IND363330AAB,1,1,2
IND364710AAA,1,0,1
IND363520AAC,0,1,1
IND363621AAB,1,1,2
IND363641AAA,0,2,2
IND364004AAB,1,1,2
IND365560AAA,1,1,2
IND364270AAA,0,1,1
IND364001AAA,1,0,1
IND364290AAA,1,1,2
IND365560AAB,2,1,3
IND370001AAA,2,3,5
IND370110AAA,1,2,3
IND370201AAA,2,2,4
IND370615AAB,2,1,3
IND380005AAA,1,3,4
IND382421AAA,1,2,3
IND382721AAA,2,1,3
IND380006AAA,0,1,1
IND380006AAB,0,1,1
IND380021AAA,0,1,1
IND380054AAA,1,1,2
IND380015AAB,1,0,1
IND382345AAA,1,0,1
IND384205AAA,6,6,12
IND387620AAB,1,1,2
IND388320AAA,4,4,8
IND389001AAA,1,1,2
IND395023AAA,8,8,16
IND382715AAA,1,1,2
IND383001AAA,1,1,2
IND383315AAC,1,2,3
IND383255AAB,1,1,2
IND384170AAA,1,1,2
IND384265AAB,1,2,3
IND384355AAB,1,2,3
IND385001AAA,2,1,3
IND385320AAA,1,1,2
IND385340AAB,2,1,3
IND385535AAA,1,1,2
IND387001AAA,1,1,2
IND388220AAA,2,1,3
IND389230AAB,1,0,1
IND388121AAA,1,1,2
IND388620AAB,1,1,2
IND389151AAA,1,1,2
IND457661AAA,1,0,1
IND390018AAB,1,1,2
IND390020AAA,3,3,6
IND391110AAD,1,2,3
IND395001AAA,1,1,2
IND395023AAD,5,5,10
IND395004AAB,1,1,2
IND395006AAA,1,1,2
IND395009AAA,1,1,2
IND395010AAB,0,1,1
IND394221AAA,1,0,1
IND396191AAC,3,5,8
IND396445AAA,1,1,2
IND396001AAA,1,1,2
IND396105AAA,1,1,2
IND396191AAB,0,1,1
IND396210AAA,1,0,1
IND396232AAA,1,1,2
IND396321AAA,2,2,4
IND396580AAB,1,1,2
IND400011AAA,2,2,4
IND400072AAD,3,1,4
IND400015AAA,3,2,5
IND400015AAB,2,2,4
IND400016AAA,0,1,1
IND400016AAB,0,2,2
IND400037AAA,1,1,2
IND400072AAJ,2,1,3
IND400064AAB,0,2,2
IND400072AAA,1,1,2
IND400701AAB,2,1,3
IND401104AAA,4,4,8
IND401104AAB,2,2,4
IND421302AAR,5,4,9
IND421302AAS,1,0,1
IND400072AAC,0,1,1
IND400072AAI,0,1,1
IND000000AFS,1,0,1
IND400102AAB,1,1,2
IND400102AAC,1,2,3
IND400052AAA,1,0,1
IND400612AAA,1,1,2
IND400705AAA,1,1,2
IND421302AAH,2,0,2
IND401208AAA,1,0,1
IND401209AAA,1,1,2
IND401209AAB,0,3,3
IND401501AAA,1,1,2
IND401602AAA,1,1,2
IND402107AAA,1,1,2
IND402109AAA,1,1,2
IND402301AAA,1,1,2
IND403002AAA,1,1,2
IND403726AAB,5,5,10
IND403401AAA,1,1,2
IND403507AAA,1,1,2
IND403507AAB,1,1,2
IND403601AAA,1,1,2
IND403702AAA,1,2,3
IND575004AAB,6,7,13
IND581314AAA,3,2,5
IND403726AAA,4,6,10
IND416510AAA,2,2,4
IND581303AAA,1,2,3
IND581400AAB,2,1,3
IND410401AAA,1,1,2
IND410501AAF,1,1,2
IND410503AAA,1,1,2
IND410505AAB,2,2,4
IND411014AAA,3,3,6
IND411043AAA,1,1,2
IND411048AAA,1,1,2
IND411017AAA,1,1,2
IND412105AAC,1,1,2
IND411021AAA,1,1,2
IND411036AAA,1,1,2
IND413002AAA,5,5,10
IND413501AAA,2,2,4
IND414001AAA,1,3,4
IND416012AAA,5,5,10
IND431136AAC,5,5,10
IND431603AAA,4,4,8
IND580028AAA,9,8,17
IND411033AAB,0,1,1
IND411057AAF,1,0,1
IND412210AAC,1,1,2
IND412803AAB,1,1,2
IND421802AAA,1,1,2
IND413304AAA,2,2,4
IND413307AAC,1,1,2
IND415301AAB,1,1,2
IND413307AAB,1,1,2
IND413401AAA,1,1,2
IND413517AAA,2,2,4
IND431717AAA,1,1,2
IND413531AAA,1,1,2
IND413709AAA,4,3,7
IND423109AAA,3,3,6
IND423601AAA,3,2,5
IND423701AAB,3,1,4
IND414203AAB,1,1,2
IND414302AAB,2,2,4
IND414502AAA,1,1,2
IND431107AAB,1,1,2
IND415003AAA,1,2,3
IND415124AAA,1,1,2
IND415605AAA,1,1,2
IND415408AAC,1,1,2
IND415409AAB,1,1,2
IND415709AAA,1,2,3
IND415612AAA,1,1,2
IND416122AAA,1,1,2
IND591237AAB,1,1,2
IND416404AAA,2,1,3
IND416602AAC,1,1,2
IND416606AAA,1,1,2
IND421301AAA,1,1,2
IND421302AAF,1,1,2
IND400078AAB,1,0,1
IND421401AAC,1,1,2
IND422011AAD,2,4,6
IND444005AAB,3,3,6
IND421302AAN,0,1,1
IND421004AAA,1,0,1
IND421601AAB,1,1,2
IND421502AAA,0,1,1
IND422103AAC,1,2,3
IND422605AAA,1,2,3
IND423105AAA,2,2,4
IND423106AAA,2,1,3
IND423301AAB,1,0,1
IND424006AAA,6,9,15
IND424101AAA,1,1,2
IND424304AAC,3,2,5
IND425401AAA,1,1,2
IND425405AAA,2,2,4
IND425412AAA,4,4,8
IND452001AAC,2,2,4
IND431103AAA,1,0,1
IND424201AAA,1,1,2
IND425109AAA,1,1,2
IND425201AAA,1,1,2
IND425508AAB,2,1,3
IND425409AAA,3,4,7
IND425406AAA,2,3,5
IND450331AAA,1,1,2
IND431001AAB,0,1,1
IND431112AAB,2,1,3
IND431122AAA,1,1,2
IND431127AAA,1,1,2
IND431131AAB,0,1,1
IND431001AAA,1,0,1
IND431203AAA,1,2,3
IND431514AAA,1,1,2
IND431515AAA,1,1,2
IND431517AAB,1,1,2
IND431401AAA,1,0,1
IND431708AAA,1,1,2
IND441206AAB,0,2,2
IND441603AAA,2,1,3
IND442605AAA,2,1,3
IND441614AAA,0,1,1
IND481001AAA,1,0,1
IND441904AAB,0,1,1
IND441912AAA,1,1,2
IND441107AAB,1,0,1
IND442001AAA,0,1,1
IND442101AAB,1,1,2
IND445001AAB,1,0,1
IND443201AAA,1,1,2
IND443301AAA,1,1,2
IND444602AAA,0,1,1
IND445101AAA,0,1,1
IND440014AAA,1,0,1
IND451666AAA,0,2,2
IND454001AAA,0,1,1
IND457001AAA,1,2,3
IND457226AAA,1,1,2
IND458990AAA,1,1,2
IND460001AAA,1,1,2
IND480334AAA,1,1,2
IND461001AAA,1,1,2
IND461111AAA,1,1,2
IND462001AAA,2,1,3
IND462011AAA,1,1,2
IND462021AAA,0,1,1
IND462042AAA,1,1,2
IND465669AAB,1,1,2
IND466001AAA,1,1,2
IND842003AAB,5,8,13
IND464001AAA,0,1,1
IND464221AAA,1,1,2
IND470004AAA,1,4,5
IND464668AAA,1,1,2
IND465001AAA,1,3,4
IND465333A1B,1,2,3
IND465333AAA,2,1,3
IND465683AAA,1,1,2
IND466116AAA,1,1,2
IND470113AAA,2,2,4
IND470117AAA,2,1,3
IND473443AAA,1,1,2
IND470227AAB,2,0,2
IND471001AAA,2,1,3
IND473001AAA,1,1,2
IND473331AAA,1,1,2
IND473226AAA,1,2,3
IND473551AAA,1,0,1
IND475661AAB,1,0,1
IND476001AAA,1,1,2
IND476111AAA,2,2,4
IND477001AAA,1,1,2
IND477001AAB,1,1,2
IND480001AAA,2,2,4
IND480661AAA,3,2,5
IND481661AAA,2,1,3
IND480106AAA,1,0,1
IND480886AAA,1,2,3
IND482002AAA,1,1,2
IND483225AAA,1,1,2
IND483501AAA,2,1,3
IND483770AAA,1,1,2
IND484001AAA,2,2,4
IND484224AAA,1,1,2
