facility,in_degree,out_degree,degree
IND484446AAA,2,1,3
IND484551AAA,1,1,2
IND484661AAE,1,2,3
IND485771AAA,1,2,3
IND486001AAA,2,1,3
IND486771AAA,3,1,4
IND488001AAA,1,1,2
IND486661AAA,1,1,2
IND486889AAA,1,2,3
IND487001AAA,1,1,2
IND487551AAA,2,1,3
IND487001AAB,1,1,2
IND491001AAA,0,1,1
IND494334AAB,1,1,2
IND492001AAB,0,1,1
IND492007AAA,1,0,1
IND493118AAC,0,1,1
IND495334AAB,1,1,2
IND493445AAB,1,1,2
IND490023AAA,1,0,1
IND495004AAA,0,1,1
IND495671AAA,1,0,1
IND491995AAB,1,0,1
IND495677AAA,0,1,1
IND496001AAA,1,0,1
IND500008AAC,1,2,3
IND500084AAB,1,0,1
IND500008AAD,0,1,1
IND500008AAF,0,1,1
IND500039AAC,5,4,9
IND500010AAA,3,3,6
IND500055AAA,1,2,3
IND501401AAC,3,1,4
IND500010AAB,1,1,2
IND500018AAA,0,1,1
IND500080AAB,2,1,3
IND500032AAA,0,1,1
IND502295AAA,1,1,2
IND500035AAA,1,1,2
IND500039AAB,0,1,1
IND501301AAC,1,1,2
IND500035AAD,1,0,1
IND508116AAA,1,2,3
IND500039AAD,1,1,2
IND500050AAA,2,2,4
IND501218AAC,2,0,2
IND500055AAC,0,1,1
IND501101AAB,1,2,3
IND509216AAC,2,1,3
IND501141AAA,1,1,2
IND503111AAC,3,3,6
IND505001AAB,11,8,19
IND506002AAA,3,3,6
IND508252AAB,1,1,2
IND509001AAA,1,1,2
IND509358AAA,1,2,3
IND515004AAA,6,6,12
IND518002AAA,10,8,18
IND523002AAA,4,5,9
IND533106AAA,8,8,16
IND585104AAA,5,5,10
IND501359AAG,0,1,1
IND502110AAA,1,1,2
IND502313AAA,1,1,2
IND502220AAC,1,1,2
IND502286AAB,1,1,2
IND503185AAA,1,1,2
IND503122AAA,1,1,2
IND503187AAA,1,1,2
IND504201AAA,1,2,3
IND505184AAC,2,2,4
IND504208AAB,3,2,5
IND504251AAA,2,2,4
IND504215AAA,1,2,3
IND505326AAB,2,3,5
IND504293AAA,2,2,4
IND504296AAA,1,3,4
IND505001AAA,0,2,2
IND505302AAB,2,3,5
IND505327AAA,4,1,5
IND505172AAA,1,0,1
IND505209AAA,2,2,4
IND505122AAA,2,1,3
IND505325AAA,1,1,2
IND505326AAA,0,1,1
IND505425AAA,3,2,5
IND505467AAA,1,1,2
IND505503AAA,1,1,2
IND506164AAA,1,0,1
IND506001AAC,0,2,2
IND506132AAA,1,1,2
IND506143AAA,1,1,2
IND506343AAA,1,1,2
IND506167AAB,1,1,2
IND506169AAB,1,1,2
IND506314AAA,1,1,2
IND507002AAA,5,7,12
IND507117AAB,2,1,3
IND507159AAA,2,2,4
IND507167AAA,1,0,1
IND508001AAA,2,1,3
IND508206AAA,3,3,6
IND508207AAB,3,3,6
IND508213AAB,1,1,2
IND507111AAA,0,2,2
IND507303AAA,2,1,3
IND508223AAA,2,1,3
IND508277AAB,1,1,2
IND508248AAB,2,1,3
IND508377AAB,1,1,2
IND509203AAA,1,1,2
IND509103AAB,2,2,4
IND509103AAC,2,1,3
IND509124AAA,2,4,6
IND584101AAA,2,3,5
IND509301AAA,1,2,3
IND509324AAA,1,1,2
IND515401AAB,1,1,2
IND515411AAA,1,1,2
IND515671AAA,1,2,3
IND515801AAA,2,2,4
IND515134AAA,3,2,5
IND515201AAA,1,2,3
IND515591AAA,2,1,3
IND515301AAA,1,1,2
IND561202AAB,1,1,2
IND516360AAB,1,1,2
IND516269AAA,1,1,2
IND515761AAA,2,1,3
IND515865AAB,1,1,2
IND516001AAA,1,1,2
IND516227AAA,1,1,2
IND516101AAA,1,1,2
IND516115AAA,1,1,2
IND517501AAB,2,2,4
IND516390AAA,1,1,2
IND517325AAA,0,1,1
IND517408AAA,1,0,1
IND517583AAA,1,1,2
IND517644AAA,1,1,2
IND524132AAA,1,1,2
IND518206AAA,2,2,4
IND518401AAA,1,1,2
IND518501AAA,1,1,2
IND518102AAA,1,1,2
IND518124AAA,1,2,3
IND518222AAA,1,1,2
IND518422AAB,1,1,2
IND520011AAA,1,1,2
IND521185AAA,2,2,4
IND521001AAA,2,2,4
IND521165AAA,2,1,3
IND521105AAA,1,2,3
IND521333AAA,2,1,3
IND534001AAA,1,2,3
IND521201AAA,1,1,2
IND521301AAA,1,1,2
IND522647AAA,1,1,2
IND523201AAA,1,1,2
IND523105AAA,2,1,3
IND523226AAA,1,1,2
IND523230AAA,1,1,2
IND523316AAB,2,1,3
IND524201AAA,1,1,2
IND524003AAA,1,1,2
IND524101AAB,1,1,2
IND530012AAA,10,11,21
IND530043AAA,1,2,3
IND531001AAA,2,2,4
IND531036AAA,2,1,3
IND531162AAA,2,0,2
IND532001AAB,5,4,9
IND535001AAA,2,1,3
IND764001AAC,2,1,3
IND764020AAC,1,1,2
IND530012AAC,0,2,2
IND530018AAA,0,1,1
IND530026AAA,0,1,1
IND531163AAA,1,1,2
IND531116AAA,1,2,3
IND532127AAA,1,1,2
IND532201AAA,2,2,4
IND532421AAA,1,1,2
IND535591AAA,1,1,2
IND532222AAA,1,2,3
IND761200AAA,2,1,3
IND532440AAA,1,1,2
IND533003AAA,2,2,4
IND533401AAA,1,2,3
IND533201AAA,3,2,5
IND533242AAA,2,1,3
IND533262AAA,2,2,4
IND533308AAB,2,2,4
IND534260AAC,1,1,2
IND535501AAB,1,2,3
IND535558AAA,1,1,2
IND560002AAA,3,2,5
IND560099AAB,11,18,29
IND560027AAA,0,1,1
IND560099AAA,1,0,1
IND560043AAC,4,3,7
IND560064AAA,1,0,1
IND560048AAB,4,2,6
IND560058AAB,3,3,6
IND560060AAB,3,2,5
IND560058AAD,3,1,4
IND560064AAD,0,1,1
IND560067AAC,1,1,2
IND562114AAA,1,2,3
IND560077AAA,1,1,2
IND560078AAC,3,2,5
IND560083AAB,2,2,4
IND560085AAA,3,1,4
IND000000ACS,4,0,4
IND560300AAA,4,12,16
IND632006AAA,4,5,9
IND635001AAA,2,2,4
IND683511AAB,1,0,1
IND560099AAG,0,1,1
IND560099AAH,0,1,1
IND562125AAA,1,1,2
IND563101AAB,2,3,5
IND563130AAA,2,1,3
IND563131AAB,3,3,6
IND560300AAB,3,4,7
IND563116AAA,2,1,3
IND563125AAB,3,2,5
IND561203AAB,1,1,2
IND562101AAA,2,1,3
IND561207AAB,1,2,3
IND562108AAA,1,1,2
IND572101AAA,3,2,5
IND562117AAA,1,1,2
IND560066AAB,1,0,1
IND570020AAA,4,3,7
IND573201AAB,4,5,9
IND577002AAA,4,3,7
IND577501AAA,2,1,3
IND577598AAC,1,1,2
IND583101AAA,3,2,5
IND562132AAC,0,1,1
IND562159AAA,0,1,1
IND563131AAA,1,1,2
IND571301AAA,1,1,2
IND571430AAA,2,1,3
IND571602AAA,1,0,1
IND571104AAA,1,2,3
IND573142AAA,3,1,4
IND577598AAB,1,1,2
IND571105AAA,0,2,2
IND571114AAA,2,1,3
IND571213AAA,1,2,3
IND571111AAB,1,1,2
IND571313AAB,1,1,2
IND571124AAA,1,1,2
IND571440AAA,1,1,2
IND571401AAA,1,1,2
IND562160AAB,1,0,1
IND571426AAA,2,1,3
IND571432AAB,1,1,2
IND571438AAB,0,1,1
IND572201AAB,2,4,6
IND573103AAA,2,2,4
IND577101AAA,3,2,5
IND577116AAA,3,1,4
IND573116AAA,1,3,4
IND573134AAB,2,2,4
IND574104AAA,1,1,2
IND574216AAA,2,2,4
IND574117AAA,1,2,3
IND576101AAA,2,1,3
IND576201AAA,2,1,3
IND574202AAA,1,1,2
IND574239AAA,1,1,2
IND574211AAA,1,2,3
IND574221AAA,1,1,2
IND574227AAA,1,1,2
IND575014AAA,1,1,2
IND671323AAD,1,1,2
IND581320AAA,2,2,4
IND581110AAE,2,2,4
IND581115AAC,1,1,2
IND577132AAD,1,1,2
IND577126AAA,1,1,2
IND577201AAA,3,2,5
IND577432AAA,1,1,2
IND577401AAA,1,2,3
IND577522AAA,1,1,2
IND577535AAC,1,1,2
IND580002AAA,2,1,3
IND581402AAA,1,2,3
IND590016AAA,2,1,3
IND591115AAB,2,2,4
IND591123AAC,1,1,2
IND581119AAB,1,1,2
IND581325AAA,2,1,3
IND581334AAA,2,3,5
IND581343AAC,1,1,2
IND582101AAB,2,1,3
IND582209AAA,1,1,2
IND583201AAA,3,3,6
IND583119AAA,1,1,2
IND583227AAA,1,2,3
IND583231AAA,1,1,2
IND584123AAA,1,1,2
IND584128AAA,1,1,2
IND583121AAA,1,0,1
IND585211AAA,2,2,4
IND585307AAB,2,2,4
IND585314AAA,2,2,4
IND585330AAE,1,1,2
IND586128AAA,2,2,4
IND585222AAA,2,2,4
IND586211AAA,2,2,4
IND585401AAA,1,1,2
IND586101AAA,1,1,2
IND586101AAB,2,1,3
IND587103AAB,1,2,3
IND591302AAB,1,2,3
IND591102AAA,1,1,2
IND591307AAC,1,3,4
IND591126AAA,0,1,1
IND591201AAA,1,2,3
IND591304AAA,1,2,3
IND580030AAA,1,0,1
IND600004AAA,1,1,2
IND600008AAC,3,3,6
IND600008AAA,0,1,1
IND600013AAA,1,0,1
IND600016AAA,0,1,1
IND600119AAA,2,1,3
IND600016AAB,0,1,1
IND600016AAC,2,2,4
IND600032AAB,3,4,7
IND600044AAD,5,5,10
IND600076AAB,2,2,4
IND600048AAA,2,1,3
IND603001AAA,1,1,2
IND603203AAA,2,2,4
IND600044AAE,1,1,2
IND600056AAA,1,1,2
IND602105AAB,1,0,1
IND600110AAA,1,2,3
IND600116AAB,4,3,7
IND605010AAB,2,3,5
IND605601AAA,3,3,6
IND631501AAA,1,2,3
IND635802AAB,4,2,6
IND600073AAA,0,1,1
IND600083AAA,0,1,1
IND600056AAD,1,0,1
IND602024AAA,1,2,3
IND602001AAA,1,1,2
IND602001AAB,0,1,1
IND609001AAA,1,1,2
IND603301AAA,1,1,2
IND603102AAA,1,1,2
IND604303AAA,1,1,2
IND607001AAA,1,1,2
IND607106AAA,1,1,2
IND636102AAA,1,1,2
IND606003AAA,1,1,2
IND606105AAA,1,1,2
IND606201AAC,1,1,2
IND606801AAB,1,1,2
IND606803AAA,1,1,2
IND608001AAA,1,1,2
IND607801AAA,1,1,2
IND609110AAA,1,1,2
IND608301AAA,1,1,2
IND639104AAB,1,1,2
IND614018AAA,1,1,2
IND609602AAA,1,1,2
IND611001AAA,1,1,2
IND610001AAA,2,2,4
IND614715AAA,1,1,2
IND613104AAA,1,0,1
IND614602AAA,0,1,1
IND614804AAA,1,1,2
IND614616AAA,1,1,2
IND630002AAA,1,1,2
IND614620AAA,1,1,2
IND630561AAA,1,2,3
IND614809AAA,1,1,2
IND620020AAA,0,1,1
IND621112AAA,1,1,2
IND621010AAA,1,1,2
IND621212AAA,2,1,3
IND620012AAA,2,0,2
IND621211AAA,0,1,1
IND621704AAA,1,1,2
IND621306AAA,0,1,1
IND625106AAA,1,1,2
IND621802AAA,1,2,3
IND622407AAA,1,1,2
IND622001AAA,1,0,1
IND623315AAB,1,1,2
IND623407AAA,1,1,2
IND623503AAA,1,1,2
IND623526AAA,1,1,2
IND623704AAA,1,1,2
IND623701AAA,1,1,2
IND626607AAB,1,1,2
IND624001AAA,2,3,5
IND624619AAA,2,1,3
IND624703AAA,2,1,3
IND625008AAA,5,3,8
IND624101AAA,1,1,2
IND624202AAA,1,1,2
IND625218AAA,1,1,2
IND624601AAA,1,2,3
IND625516AAA,2,1,3
IND626123AAA,1,1,2
IND685514AAA,3,1,4
IND625531AAA,1,1,2
IND625532AAA,0,2,2
IND626117AAA,1,1,2
IND626138AAA,1,1,2
IND627756AAA,1,1,2
IND627005AAA,3,4,7
IND627117AAA,1,1,2
IND627811AAA,1,1,2
IND628801AAA,1,1,2
IND629001AAA,2,0,2
IND627401AAA,1,1,2
IND627657AAA,1,1,2
IND628613AAA,1,1,2
IND628204AAA,1,1,2
IND629179AAA,0,1,1
IND631003AAA,1,1,2
IND631102AAA,1,1,2
IND632301AAA,1,2,3
IND632402AAA,1,1,2
IND636705AAB,2,2,4
IND635207AAA,1,1,2
IND635601AAB,1,2,3
IND636005AAA,0,2,2
IND636005AAC,1,0,1
IND636016AAA,1,2,3
IND636402AAA,2,0,2
IND637211AAA,1,1,2
IND636352AAA,0,1,1
IND637301AAA,0,1,1
IND638001AAA,1,1,2
IND637408AAA,0,1,1
IND637001AAA,1,0,1
IND638052AAA,1,0,1
IND638401AAA,1,1,2
IND638452AAA,1,1,2
IND638501AAB,1,1,2
IND641062AAD,7,8,15
IND638657AAA,1,1,2
IND638701AAA,1,1,2
IND641607AAA,2,3,5
IND639001AAA,0,1,1
IND641001AAA,2,1,3
IND641006AAD,0,1,1
IND641008AAA,1,2,3
IND641011AAA,1,1,2
IND642001AAA,2,2,4
IND642126AAA,2,1,3
IND643217AAA,2,1,3
IND643231AAA,1,1,2
IND641654AAA,1,1,2
IND641664AAA,2,1,3
IND643001AAA,1,1,2
IND643212AAA,1,1,2
IND670643AAA,1,1,2
IND670645AAB,2,1,3
IND673592AAA,2,3,5
IND671315AAA,0,1,1
IND000000ACO,1,0,1
IND673104AAA,3,1,4
IND673305AAA,2,1,3
IND673506AAA,1,1,2
IND673121AAA,1,1,2
IND673573AAA,0,1,1
IND676306AAA,1,1,2
IND676509AAA,1,2,3
IND678583AAA,1,0,1
IND679322AAA,1,1,2
IND678683AAA,1,1,2
IND679303AAA,1,1,2
IND679531AAA,1,1,2
IND673639AAA,2,0,2
IND679329AAA,0,1,1
IND680587AAA,1,2,3
IND680012AAA,1,1,2
IND68004AAA,2,2,4
IND680104AAA,1,1,2
IND679576AAA,1,0,1
IND680307AAA,1,2,3
IND680712AAA,1,1,2
IND686028AAB,3,2,5
IND683572AAA,0,1,1
IND686632AAA,1,1,2
IND689101AAA,1,2,3
IND686507AAA,1,2,3
IND686513AAA,1,2,3
IND686540AAA,2,1,3
IND686141AAA,1,0,1
IND688009AAA,1,1,2
IND688524AAA,0,1,1
IND689650AAA,1,1,2
IND690548AAA,2,1,3
IND689503AAB,1,1,2
IND689645AAA,1,1,2
IND691551AAA,2,1,3
IND690537AAA,0,1,1
IND691001AAB,2,4,6
IND690573AAA,1,0,1
IND691506AAA,1,1,2
IND695012AAA,5,2,7
IND691305AAA,1,2,3
IND691574AAA,2,1,3
IND695614AAA,1,1,2
IND695101AAB,2,2,4
IND695012AAB,0,1,1
IND695541AAA,2,2,4
IND695582AAA,0,2,2
IND695609AAA,1,1,2
IND700026AAC,2,2,4
IND700065AAA,2,2,4
IND700053AAA,3,4,7
IND700136AAB,1,1,2
IND700144AAA,1,1,2
IND743513AAA,1,1,2
IND700065AAB,0,1,1
IND712310AAA,2,0,2
IND700088AAA,1,1,2
IND700136AAG,0,1,1
IND743395AAA,1,1,2
IND711303AAA,1,1,2
IND721134AAB,1,2,3
IND712103AAA,2,2,4
IND712124AAA,2,2,4
IND712310AAE,5,4,9
IND711409AAA,1,0,1
IND712410AAC,1,1,2
IND713103AAA,1,1,2
IND713145AAB,1,2,3
IND713205AAB,7,11,18
IND721306AAA,4,4,8
IND732103AAB,4,3,7
IND742101AAC,6,6,12
IND742102AAB,5,5,10
IND743235AAA,1,1,2
IND826004AAA,7,9,16
IND712406AAA,1,2,3
IND712602AAA,2,2,4
IND712612AAA,1,1,2
IND722154AAA,2,2,4
IND713128AAB,1,2,3
IND731204AAB,1,1,2
IND731301AAA,2,1,3
IND713130AAA,2,2,4
IND741123AAB,2,1,3
IND741126AAB,2,1,3
IND741101AAB,1,1,2
IND741316AAA,1,0,1
IND713148AAA,1,1,2
IND713303AAA,1,1,2
IND722101AAA,1,1,2
IND722101AAB,1,1,2
IND722101AAC,2,0,2
IND722122AAA,2,1,3
IND722143AAB,1,1,2
IND722202AAA,1,2,3
IND723130AAA,4,2,6
IND723133AAA,2,1,3
IND713364AAB,1,1,2
IND721102AAA,1,1,2
IND721133AAA,1,1,2
IND721434AAB,1,1,2
IND721139AAC,2,2,4
IND721602AAB,2,1,3
IND721636AAB,1,1,2
IND721212AAA,0,1,1
IND721253AAC,2,2,4
IND721501AAC,1,2,3
IND721507AAA,1,0,1
IND721401AAA,1,1,2
IND722140AAA,1,2,3
IND722151AAA,1,1,2
IND723101AAA,1,1,2
IND723202AAA,1,1,2
IND723131AAA,1,1,2
IND731224AAA,1,1,2
IND742147AAA,1,1,2
IND731237AAB,2,1,3
IND732103AAA,2,1,3
IND732138AAA,1,3,4
IND732123AAC,3,1,4
IND732202AAA,1,1,2
IND733128AAA,1,2,3
IND732139AAA,2,2,4
IND733102AAA,2,1,3
IND733124AAA,1,0,1
IND733140AAA,1,2,3
IND732204AAB,1,2,3
IND733129AAB,2,1,3
IND733134AAA,1,1,2
IND733129AAA,1,1,2
IND733201AAA,0,1,1
IND733202AAB,1,1,2
IND733210AAA,2,0,2
IND733202AAC,0,1,1
IND734214AAB,0,1,1
IND735224AAA,0,1,1
IND736146AAA,1,1,2
IND736135AAA,1,2,3
IND736101AAA,1,0,1
IND736165AAA,1,0,1
IND741502AAB,1,0,1
IND741121AAA,0,1,1
IND741201AAC,1,1,2
IND741156AAA,1,2,3
IND741165AAB,1,1,2
IND742121AAB,2,2,4
IND742202AAA,1,2,3
IND742303AAB,2,1,3
IND742121AAA,1,2,3
IND742137AAA,1,1,2
IND742401AAA,1,2,3
IND742148AAA,1,1,2
IND742225AAA,2,1,3
IND742149AAA,0,2,2
IND742223AAA,1,1,2
IND742226AAA,1,2,3
IND743270AAA,1,1,2
IND743347AAA,1,1,2
IND754103AAA,1,1,2
IND756100AAC,3,4,7
IND760003AAB,1,2,3
IND751014AAA,0,1,1
IND751015AAA,0,4,4
IND752050AAA,2,2,4
IND752055AAA,1,2,3
IND752056AAA,2,1,3
IND751021AAA,0,1,1
IND752030AAA,0,1,1
IND754022AAA,2,1,3
IND754142AAA,2,1,3
IND754211AAA,1,1,2
IND754160AAA,0,1,1
IND754202AAA,1,1,2
IND756019AAA,3,5,8
IND756029AAA,1,1,2
IND756032AAA,1,1,2
IND757001AAA,3,1,4
IND757025AAA,1,1,2
IND757041AAA,2,2,4
IND756045AAB,1,1,2
IND757037AAA,3,2,5
IND758001AAA,4,2,6
IND758034AAA,1,3,4
IND757024AAA,0,1,1
IND758035AAA,1,1,2
IND759122AAC,1,1,2
IND767017AAA,2,2,4
IND761020AAA,1,0,1
IND762001AAA,1,1,2
IND764059AAA,1,1,2
IND764071AAB,1,2,3
IND764073AAA,1,0,1
IND767001AAA,3,2,5
IND768004AAD,1,2,3
IND768028AAA,1,1,2
IND768028AAB,1,1,2
IND768201AAA,0,1,1
IND770001AAA,2,1,3
IND768216AAA,0,1,1
IND770017AAB,1,0,1
IND781001AAA,0,1,1
IND781003AAA,1,1,2
IND781005AAA,1,1,2
IND781014AAA,0,2,2
IND781102AAA,2,1,3
IND781124AAA,1,1,2
IND781018AAA,0,1,1
IND781022AAA,1,1,2
IND781354AAA,1,1,2
IND784001AAA,3,4,7
IND784125AAA,1,1,2
IND784168AAB,3,2,5
IND785001AAA,5,3,8
IND785612AAB,2,2,4
IND785621AAA,2,1,3
IND788026AAC,4,4,8
IND793001AAA,1,2,3
IND781335AAA,1,1,2
IND783129AAA,1,1,2
IND794101AAA,1,1,2
IND783301AAA,2,1,3
IND783348AAA,1,1,2
IND783370AAB,0,1,1
IND784101AAA,1,1,2
IND790114AAA,2,0,2
IND791111AAC,2,0,2
IND784110AAA,1,2,3
IND784176AAA,1,1,2
IND785112AAC,1,2,3
IND785682AAA,2,2,4
IND798601AAA,1,1,2
IND785634AAA,1,1,2
IND785675AAA,1,1,2
IND785690AAB,1,1,2
IND786001AAB,6,7,13
IND786125AAA,2,1,3
IND786171AAA,1,1,2
IND786184AAA,1,2,3
IND786190AAA,3,2,5
IND786602AAA,1,0,1
IND792103AAB,2,1,3
IND786181AAC,3,3,6
IND792120AAB,1,1,2
IND792121AAB,1,1,2
IND787001AAA,2,1,3
IND787057AAA,1,1,2
IND787059AAB,1,1,2
IND791102AAA,2,1,3
IND788121AAA,1,1,2
IND788151AAA,1,2,3
IND799250AAA,1,1,2
IND796081AAA,1,1,2
IND788713AAA,2,2,4
IND788806AAA,2,2,4
IND790001AAB,0,1,1
IND791109AAA,0,1,1
IND791110AAA,0,1,1
IND791125AAB,0,1,1
IND792001AAA,1,2,3
IND792110AAA,1,1,2
IND792130AAB,0,1,1
IND793150AAA,1,1,2
IND796009AAA,1,1,2
IND796321AAB,1,1,2
IND799008AAA,1,0,1
IND801103AAA,0,1,1
IND802301AAA,1,1,2
IND802101AAA,1,2,3
IND802119AAA,1,1,2
IND802158AAB,2,1,3
IND802212AAA,1,1,2
IND802213AAB,1,1,2
IND804401AAA,1,0,1
IND803101AAA,1,1,2
IND805110AAD,1,1,2
IND803116AAA,1,1,2
IND803108AAB,1,0,1
IND803213AAA,0,2,2
IND803212AAB,2,0,2
IND811105AAA,1,1,2
IND804420AAA,1,1,2
IND804452AAA,0,1,1
IND811201AAB,2,2,4
IND811213AAA,2,2,4
IND813213AAA,2,0,2
IND811307AAA,0,2,2
IND812002AAA,1,1,2
IND813203AAA,2,0,2
IND813102AAA,0,2,2
IND814101AAB,1,1,2
IND816107AAA,1,1,2
IND814112AAA,3,2,5
IND814133AAA,1,1,2
IND814133AAB,3,1,4
IND816109AAA,2,1,3
IND815301AAA,1,3,4
IND815353AAA,2,3,5
IND815351AAA,1,1,2
IND821109AAA,1,1,2
IND824101AAA,2,2,4
IND821307AAA,1,1,2
IND825102AAA,1,1,2
IND827013AAA,2,1,3
IND825301AAA,1,1,2
IND825409AAA,1,1,2
IND826001AAC,0,1,1
IND828111AAA,2,1,3
IND828205AAA,1,0,1
IND828401AAB,1,1,2
IND829121AAA,1,1,2
IND829122AAA,1,1,2
IND832109AAB,1,1,2
IND841101AAA,0,1,1
IND841207AAB,2,0,2
IND841226AAB,2,1,3
IND841428AAA,2,0,2
IND841301AAC,1,1,2
IND841405AAA,0,1,1
IND841424AAA,0,2,2
IND843105AAB,1,1,2
IND843109AAB,2,2,4
IND843126AAA,2,2,4
IND843301AAA,2,1,3
IND843320AAA,2,1,3
IND843329AAB,1,1,2
IND845401AAA,2,1,3
IND845412AAB,1,1,2
IND845418AAB,2,2,4
IND845438AAA,2,1,3
IND846004AAA,1,2,3
IND847212AAA,1,1,2
IND848101AAA,2,1,3
IND848114AAA,1,1,2
IND854326AAB,8,8,16
IND847223AAA,1,1,2
IND844101AAB,0,1,1
IND844505AAB,1,1,2
IND845305AAA,1,1,2
IND845455AAB,1,2,3
IND847103AAA,1,1,2
IND847404AAB,2,1,3
IND847226AAA,1,1,2
IND848210AAA,1,2,3
IND851127AAA,1,2,3
IND851112AAB,1,0,1
IND852111AAA,2,4,6
IND852118AAA,2,2,4
IND854311AAA,2,3,5
IND854335AAA,2,3,5
IND852113AAA,2,2,4
IND852139AAB,2,1,3
IND852201AAA,3,3,6
IND852118A1B,3,1,4
IND852131AAA,2,2,4
IND853204AAA,2,1,3
IND851204AAA,2,0,2
IND854105AAA,1,1,2
IND854105AAB,1,2,3
IND854334AAA,2,3,5
